X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0500322971842,38.8655607794074,28694053,38.865553,-77.05003,Long Bridge Park / Long Bridge Dr & 6th St S,classic,346,active,2021/11/02 13:04:06+00,8,0,7,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0751373105038,38.9645517985332,28694054,38.964544,-77.075135,Connecticut Ave & McKinley St NW,classic,347,active,2021/11/02 10:40:20+00,18,0,1,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.034920295151,38.903656787418,28694055,38.903649,-77.034918,15th & L St NW,classic,348,active,2021/11/02 15:38:46+00,17,0,5,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0397342960301,38.8982907864439,28694056,38.898283,-77.039732,17th & G St NW,classic,349,active,2021/11/02 15:59:53+00,4,0,27,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0345013000797,38.9976608064959,28694057,38.997653,-77.034499,Spring St & 2nd Ave,classic,350,active,2021/11/02 04:57:02+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",44,2021/11/02 16:07:28+00,,"Montgomery County, MD (South)"
-77.0418362973781,38.9126557891339,28694058,38.912648,-77.041834,18th & R St NW,classic,351,active,2021/11/02 15:57:57+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.0632773005423,38.8592617777863,28694059,38.859254,-77.063275,Joyce St & 16th St S,classic,352,active,2021/11/02 13:11:30+00,7,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-76.9970722836614,38.9079157900859,28694060,38.907908,-76.99707,Union Market,classic,353,active,2021/11/02 15:43:42+00,1,0,21,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/11/02 16:07:28+00,,"Washington, DC"
-77.1045643157055,38.896463783393,28694061,38.896456,-77.104562,Langston Blvd & N Monroe St,classic,354,active,2021/11/02 12:59:37+00,11,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0783193081114,38.8989917851047,28694062,38.898984,-77.078317,21st St & N Pierce St,classic,355,active,2021/11/02 15:57:18+00,0,0,15,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
